,ref,main_type,fac_scen,res_scen,total_time,num_trips,total_distance,annual_dist,ferry_costs,num_coll_days,annual_ferry_cost,total_cost,res_biweekly_kg,biogas_energy,res_biweekly,res_annual,cost_per_tonne,type,la,veh_type
0,distillery_d_5,brewery,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
1,distillery_d_18,brewery,industrial_group_ref,high,,,,,,,,,29.666666666666668,1.1674543866974274,0.029666666666666668,0.7713333333333333,,liquid,Argyll and Bute,liquid
2,distillery_d_6,brewery,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
3,cafe_140518,brewery,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
4,distillery_d_4,brewery,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
5,distillery_d_20,brewery,industrial_group_ref,high,,,,,,,,,162.66666666666666,6.367145614618362,0.16266666666666665,4.229333333333333,,liquid,Argyll and Bute,liquid
6,distillery_d_1,brewery,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
7,distillery_d_13,brewery,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
8,distillery_d_10,brewery,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
9,distillery_d_17,brewery,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
10,distillery_d_0,brewery,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
11,distillery_d_7,brewery,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
12,distillery_d_5,distillery,industrial_group_ref,high,,,,,,,,,38844.333333333336,874.4751298632286,38.84433333333334,1009.9526666666668,,liquid,Argyll and Bute,liquid
13,distillery_d_18,distillery,industrial_group_ref,high,,,,,,,,,74451.66666666667,1676.0773322378545,74.45166666666667,1935.7433333333333,,liquid,Argyll and Bute,liquid
14,distillery_d_6,distillery,industrial_group_ref,high,,,,,,,,,84163.0,1894.6961147036618,84.163,2188.238,,liquid,Argyll and Bute,liquid
15,cafe_140518,distillery,industrial_group_ref,high,,,,,,,,,647.3333333333334,14.574585497720475,0.6473333333333333,16.830666666666666,,liquid,Argyll and Bute,liquid
16,distillery_d_4,distillery,industrial_group_ref,high,,,,,,,,,69596.33333333333,1566.7679410049507,69.59633333333333,1809.5046666666667,,liquid,Argyll and Bute,liquid
17,distillery_d_20,distillery,industrial_group_ref,high,,,,,,,,,11491.333333333334,258.69889258453844,11.491333333333333,298.7746666666667,,liquid,Argyll and Bute,liquid
18,distillery_d_1,distillery,industrial_group_ref,high,,,,,,,,,43700.0,983.7845210961319,43.7,1136.2,,liquid,Argyll and Bute,liquid
19,distillery_d_13,distillery,industrial_group_ref,high,,,,,,,,,56648.0,1275.2762310505416,56.648,1472.8480000000002,,liquid,Argyll and Bute,liquid
